4/1/1960,,84,44,0,0,0
4/2/1960,,88,47,0,0,0
4/3/1960,,92,44,0,0,0
4/4/1960,,88,45,0,0,0
4/5/1960,,90,46,0,0,0
4/6/1960,,83,49,0,0,0
4/7/1960,,80,44,0,0,0
4/8/1960,,74,56,0,0,0
4/9/1960,,77,55,0,0,0
4/10/1960,,77,54,0,0,0
4/11/1960,,71,54,0,0,0
4/12/1960,,68,51,0,0,0
4/13/1960,,82,41,0,0,0
4/14/1960,,81,44,0,0,0
4/15/1960,,76,42,0,0,0
4/16/1960,,79,45,0,0,0
4/17/1960,,85,48,0,0,0
4/18/1960,,87,46,0,0,0
4/19/1960,,81,46,0,0,0
4/20/1960,,81,51,0,0,0
4/21/1960,,72,56,0,0,0
4/22/1960,,62,55,0,0,0
4/23/1960,,61,46,0.03,0,0
4/24/1960,,65,43,0.05,0,0
4/25/1960,,69,39,0,0,0
4/26/1960,,68,42,0,0,0
4/27/1960,,,53,0.47,0,0
4/28/1960,,63,51,0.08,0,0
4/29/1960,,68,43,0,0,0
4/30/1960,,76,45,0,0,0
5/1/1960,,86,48,0,0,0
5/2/1960,,81,52,0,0,0
5/3/1960,,63,51,0,0,0
5/4/1960,,60,53,0.37,0,0
5/5/1960,,72,55,0,0,0
5/6/1960,,86,45,0,0,0
5/7/1960,,89,50,0,0,0
5/8/1960,,89,50,0,0,0
5/9/1960,,84,57,0,0,0
5/10/1960,,92,54,0,0,0
5/11/1960,,95,53,0,0,0
5/12/1960,,89,52,0,0,0
5/13/1960,,82,53,0,0,0
5/14/1960,,72,60,0,0,0
5/15/1960,,67,57,0,0,0
5/16/1960,,67,57,0,0,0
5/17/1960,,73,59,0,0,0
5/18/1960,,70,59,0,0,0
5/19/1960,,86,58,0,0,0
5/20/1960,,90,49,0,0,0
5/21/1960,,81,51,0,0,0
5/22/1960,,68,50,0,0,0
5/23/1960,,69,46,0,0,0
5/24/1960,,69,48,0,0,0
5/25/1960,,76,49,0,0,0
5/26/1960,,87,50,0,0,0
5/27/1960,,87,53,0,0,0
5/28/1960,,83,58,0,0,0
5/29/1960,,74,60,0,0,0
5/30/1960,,75,60,0,0,0
5/31/1960,,77,61,0,0,0
6/1/1960,,80,62,0,0,0
6/2/1960,,80,63,0,0,0
